pmid,title,authors,journal,year,therapy_area_id,drug_id,study_type,abstract,url
10000001,Real-world OS after second-line PD-1 therapy in NSCLC,"Lee J, Patel S",J Clin Oncol,2023,TA_ONCO_2L_NSCLC,DRUG_ONCO_X,Cohort,Retrospective US cohort describing overall survival after second-line immunotherapy in biomarker-selected NSCLC.,https://pubmed.ncbi.nlm.nih.gov/mock/10000001
10000002,Comparative effectiveness of anti-VEGF regimens in mCRC,"Nguyen T, Costa R",Ann Oncol,2022,TA_ONCO_MCRC,DRUG_ONCO_Y,Comparative effectiveness,Claims-based study comparing treatment sequences and outcomes in third-line mCRC.,https://pubmed.ncbi.nlm.nih.gov/mock/10000002
10000003,HFrEF treatment patterns and hospitalization risk,"Smith A, Kumar P",JACC HF,2024,TA_CARDIO_HF,DRUG_CARD_Z,Cohort,EHR-derived cohort examining guideline-directed therapy titration and HF hospitalizations.,https://pubmed.ncbi.nlm.nih.gov/mock/10000003
10000004,Biologic switching in RA and infection outcomes,"Mueller K, Zhang L",Rheumatology,2023,TA_IMMUNO_RA,DRUG_IMMU_W,Registry,Registry analysis of serious infections after switching from TNFi to targeted therapy.,https://pubmed.ncbi.nlm.nih.gov/mock/10000004
10000005,MS relapse rates in integrated delivery networks,"Brown D, Singh M",Neurology,2024,TA_NEURO_MS,DRUG_NEURO_V,Cohort,Real-world annualized relapse rates compared across DMT classes using claims-EHR linkage.,https://pubmed.ncbi.nlm.nih.gov/mock/10000005
10000006,Immune-related adverse events in PD-(L)1 NSCLC,"Kim H, Ortiz G",Lung Cancer,2023,TA_ONCO_2L_NSCLC,DRUG_ONCO_X,Safety surveillance,Pharmacovigilance-augmented cohort describing irAE incidence and steroid utilization.,https://pubmed.ncbi.nlm.nih.gov/mock/10000006
10000007,PD-L1 testing pathways and treatment timing,"Patel S, Lee J",Thoracic Oncol,2022,TA_ONCO_2L_NSCLC,,Descriptive,Describes community testing patterns and time-to-treatment in second-line NSCLC.,https://pubmed.ncbi.nlm.nih.gov/mock/10000007
10000008,mCRC biomarker utilization and outcomes,"Costa R, Nguyen T",Oncologist,2023,TA_ONCO_MCRC,,Observational,Observational study linking RAS/BRAF testing rates to subsequent therapy selection.,https://pubmed.ncbi.nlm.nih.gov/mock/10000008
10000009,HF readmissions under bundled payment models,"Kumar P, Smith A",Circ Cardiovasc Qual,2023,TA_CARDIO_HF,,Health policy,Evaluates readmission patterns for HFrEF patients under alternative payment models.,https://pubmed.ncbi.nlm.nih.gov/mock/10000009
10000010,RA work productivity in biologic era,"Zhang L, Mueller K",J Rheumatol,2022,TA_IMMUNO_RA,,PRO study,Work productivity loss estimates across lines of biologic therapy using survey-linked claims.,https://pubmed.ncbi.nlm.nih.gov/mock/10000010
10000011,MS disability progression in diverse cohorts,"Singh M, Brown D",Mult Scler,2023,TA_NEURO_MS,,Cohort,EDSS progression stratified by race/ethnicity in a multi-site registry.,https://pubmed.ncbi.nlm.nih.gov/mock/10000011
10000012,Second-line NSCLC network meta-analysis,"Ortiz G, Kim H",BMJ Open,2022,TA_ONCO_2L_NSCLC,,NMA,Network meta-analysis of second-line options including immunotherapy comparators.,https://pubmed.ncbi.nlm.nih.gov/mock/10000012
10000013,Anti-angiogenic therapy persistence in mCRC,"Nguyen T",Clin Colorectal Cancer,2024,TA_ONCO_MCRC,DRUG_ONCO_Y,Cohort,Treatment persistence and reasons for discontinuation in third-line anti-angiogenic therapy.,https://pubmed.ncbi.nlm.nih.gov/mock/10000013
10000014,SGLT2 inhibitors and HF outcomes overlap,"Smith A",Cardiovasc Drugs Ther,2023,TA_CARDIO_HF,,Review,Narrative review discussing overlapping populations between HF trials and RWD cohorts.,https://pubmed.ncbi.nlm.nih.gov/mock/10000014
10000015,ImmunoBlock immunogenicity surveillance,"Mueller K",Arthritis Res Ther,2024,TA_IMMUNO_RA,DRUG_IMMU_W,Post-marketing,Immunogenicity signals and infusion reactions in post-marketing surveillance datasets.,https://pubmed.ncbi.nlm.nih.gov/mock/10000015
10000016,DMT switching MRI outcomes,"Brown D",J Neurol Sci,2023,TA_NEURO_MS,DRUG_NEURO_V,Cohort,MRI activity before and after switch from platform therapy to high-efficacy DMT.,https://pubmed.ncbi.nlm.nih.gov/mock/10000016
10000017,PD-1 retreatment after toxicity,"Lee J",J Immunother Cancer,2024,TA_ONCO_2L_NSCLC,DRUG_ONCO_X,Case series,Multicenter case series on retreatment decisions after grade 3 irAE.,https://pubmed.ncbi.nlm.nih.gov/mock/10000017
10000018,Liver metastases patterns in mCRC,"Costa R",Br J Cancer,2023,TA_ONCO_MCRC,DRUG_ONCO_Y,Observational,Patterns of liver-directed therapy usage alongside systemic anti-angiogenic therapy.,https://pubmed.ncbi.nlm.nih.gov/mock/10000018
10000019,GDMT uptake in rural HF populations,"Kumar P",JAMA Netw Open,2024,TA_CARDIO_HF,DRUG_CARD_Z,Cohort,Rural vs urban disparities in guideline-directed medical therapy uptake.,https://pubmed.ncbi.nlm.nih.gov/mock/10000019
10000020,TNFi inadequate response prediction,"Zhang L",Arthritis Care Res,2023,TA_IMMUNO_RA,,ML model,Machine learning model using baseline labs to predict inadequate response at 6 months.,https://pubmed.ncbi.nlm.nih.gov/mock/10000020
10000021,Pregnancy outcomes on DMTs,"Singh M",Neurology Clin Practice,2023,TA_NEURO_MS,,Registry,Pregnancy registry describing relapse risk during postpartum period.,https://pubmed.ncbi.nlm.nih.gov/mock/10000021
10000022,Real-world PFS proxies in NSCLC,"Kim H",Lung Cancer,2024,TA_ONCO_2L_NSCLC,,Methods,Methods paper on constructing PFS proxies from claims using pharmacy markers.,https://pubmed.ncbi.nlm.nih.gov/mock/10000022
10000023,Health utility in mCRC trials vs RWE,"Nguyen T",Pharmacoeconomics,2022,TA_ONCO_MCRC,,Utility study,Utility weights derived from trial vs community cohort comparisons.,https://pubmed.ncbi.nlm.nih.gov/mock/10000023
10000024,Telehealth and HF follow-up,"Smith A",Telemed J,2023,TA_CARDIO_HF,,Cohort,Association between telehealth intensity and 30-day readmissions.,https://pubmed.ncbi.nlm.nih.gov/mock/10000024
10000025,RA cardiovascular risk on biologics,"Mueller K",Ann Rheum Dis,2024,TA_IMMUNO_RA,,Meta-analysis,Meta-analysis of MACE risk across biologic classes.,https://pubmed.ncbi.nlm.nih.gov/mock/10000025
10000026,Cognition endpoints in MS RWD,"Brown D",Mult Scler Relat Disord,2023,TA_NEURO_MS,,RWD,Cognitive assessment linkage to administrative datasets feasibility study.,https://pubmed.ncbi.nlm.nih.gov/mock/10000026
10000027,Diagnostic delay in NSCLC,"Lee J",Chest,2023,TA_ONCO_2L_NSCLC,,Observational,Time from suspicious imaging to biopsy across community oncology networks.,https://pubmed.ncbi.nlm.nih.gov/mock/10000027
10000028,Chemotherapy sequencing before anti-VEGF,"Costa R",Oncologist,2024,TA_ONCO_MCRC,DRUG_ONCO_Y,Cohort,Prior chemotherapy exposure effects on anti-angiogenic outcomes.,https://pubmed.ncbi.nlm.nih.gov/mock/10000028
10000029,Renal function and HF therapy dosing,"Kumar P",Kidney Int Rep,2023,TA_CARDIO_HF,DRUG_CARD_Z,Cohort,Dosing adjustments and outcomes in CKD stage 3b/4 populations.,https://pubmed.ncbi.nlm.nih.gov/mock/10000029
10000030,Biosimilar uptake after RA originator LOE,"Zhang L",BMJ,2024,TA_IMMUNO_RA,,Policy,Biosimilar market share and persistence compared with originator cohorts.,https://pubmed.ncbi.nlm.nih.gov/mock/10000030
10000031,Pediatric MS rare populations,"Singh M",Neurology,2023,TA_NEURO_MS,,Chart review,Chart review describing treatment escalations in pediatric-onset MS.,https://pubmed.ncbi.nlm.nih.gov/mock/10000031
10000032,Tumor mutation burden and immunotherapy,"Ortiz G",Nat Commun,2024,TA_ONCO_2L_NSCLC,DRUG_ONCO_X,Biomarker,TMB thresholds associated with durable benefit in community cohorts.,https://pubmed.ncbi.nlm.nih.gov/mock/10000032
10000033,Left-sided vs right-sided mCRC economics,"Nguyen T",Value Health,2023,TA_ONCO_MCRC,,Economic model,Budget impact model incorporating sidedness and sequencing.,https://pubmed.ncbi.nlm.nih.gov/mock/10000033
10000034,Sacubitril-valsartan adherence trajectories,"Smith A",J Card Fail,2024,TA_CARDIO_HF,,Adherence,Trajectory clustering of adherence patterns and hospitalization risk.,https://pubmed.ncbi.nlm.nih.gov/mock/10000034
10000035,Janus kinase inhibitors infection monitoring,"Mueller K",Lancet Rheumatol,2023,TA_IMMUNO_RA,,Safety,Herpes zoster incidence under different JAK inhibitor regimens.,https://pubmed.ncbi.nlm.nih.gov/mock/10000035
10000036,Walking speed as MS endpoint,"Brown D",Mult Scler,2024,TA_NEURO_MS,,Digital endpoint,Wearable-derived walking speed correlation with EDSS changes.,https://pubmed.ncbi.nlm.nih.gov/mock/10000036
10000037,Symptom clusters in NSCLC immunotherapy,"Kim H",Support Care Cancer,2023,TA_ONCO_2L_NSCLC,DRUG_ONCO_X,PRO,Patient-reported symptom clusters predicting early discontinuation.,https://pubmed.ncbi.nlm.nih.gov/mock/10000037
10000038,Anti-EGFR sequencing before anti-VEGF,"Costa R",Target Oncol,2024,TA_ONCO_MCRC,,Review,Review summarizing sequencing evidence gaps for payer submissions.,https://pubmed.ncbi.nlm.nih.gov/mock/10000038
10000039,Polypharmacy and HF outcomes,"Kumar P",J Am Geriatr Soc,2023,TA_CARDIO_HF,,Cohort,Polypharmacy burden and adverse outcomes in elderly HF cohorts.,https://pubmed.ncbi.nlm.nih.gov/mock/10000039
10000040,Tapering steroids in RA flare,"Zhang L",ACR Open Rheumatol,2024,TA_IMMUNO_RA,,Guideline,Consensus-derived taper protocols mapped to flare incidence in RWD.,https://pubmed.ncbi.nlm.nih.gov/mock/10000040
